:START_ID,id,:END_ID,:TYPE
203v,381,281v,0.2
281v,381,203v,0.2
204w,382,242i,0.25
242i,382,204w,0.25
204w,383,271l,0.12
271l,383,204w,0.12
204w,384,282w,0.11
282w,384,204w,0.11
205x,385,243j,0.53
243j,385,205x,0.53
205x,386,260a,0.23
260a,386,205x,0.23
206y,387,244k,0.5
244k,387,206y,0.5
206y,388,274o,0.17
274o,388,206y,0.17
206y,389,284y,0.14
284y,389,206y,0.14
207z,390,224q,0.6
224q,390,207z,0.6
207z,391,245l,0.33
245l,391,207z,0.33
207z,392,285z,0.17
285z,392,207z,0.17
208a,393,246m,0.4
246m,393,208a,0.4
208a,394,286a,0.2
286a,394,208a,0.2
209b,395,247n,0.8
247n,395,209b,0.8
210c,396,225r,0.88
225r,396,210c,0.88
210c,397,226s,0.5
226s,397,210c,0.5
210c,398,248o,0.38
248o,398,210c,0.38
210c,399,249p,0.25
249p,399,210c,0.25
211d,400,227t,0.85
227t,400,211d,0.85
211d,401,228u,0.69
228u,401,211d,0.69
211d,402,229v,0.46
229v,402,211d,0.46
211d,403,250q,0.15
250q,403,211d,0.15
211d,404,251r,0.13
251r,404,211d,0.13
211d,405,252s,0.15
252s,405,211d,0.15
211d,406,253t,0.33
253t,406,211d,0.33
211d,407,261b,0.29
261b,407,211d,0.29
212e,408,254u,0.67
254u,408,212e,0.67
213f,409,230w,0.87
230w,409,213f,0.87
213f,410,255v,0.11
255v,410,213f,0.11
213f,411,256w,0.41
256w,411,213f,0.41
213f,412,262c,0.12
262c,412,213f,0.12
213f,413,263d,0.31
263d,413,213f,0.31
214g,414,257x,0.2
257x,414,214g,0.2
215h,415,231x,0.75
231x,415,215h,0.75
215h,416,258y,0.17
258y,416,215h,0.17
216i,417,232y,0.5
232y,417,216i,0.5
216i,418,266g,0.25
266g,418,216i,0.25
217j,419,233z,0.57
233z,419,217j,0.57
217j,420,259z,0.4
259z,420,217j,0.4
217j,421,267h,0.17
267h,421,217j,0.17
217j,422,276q,0.14
276q,422,217j,0.14
217j,423,277r,0.2
277r,423,217j,0.2
218k,424,234a,0.67
234a,424,218k,0.67
218k,425,278s,0.33
278s,425,218k,0.33
219l,426,235b,0.33
235b,426,219l,0.33
219l,427,268i,0.17
268i,427,219l,0.17
221n,428,222o,0.83
222o,428,221n,0.83
221n,429,223p,0.25
223p,429,221n,0.25
221n,430,238e,0.13
238e,430,221n,0.13
221n,431,239f,0.13
239f,431,221n,0.13
221n,432,240g,0.17
240g,432,221n,0.17
222o,433,223p,0.3
223p,433,222o,0.3
222o,434,239f,0.15
239f,434,222o,0.15
222o,435,240g,0.2
240g,435,222o,0.2
223p,436,240g,0.67
240g,436,223p,0.67
224q,437,245l,0.5
245l,437,224q,0.5
224q,438,285z,0.25
285z,438,224q,0.25
225r,439,226s,0.57
226s,439,225r,0.57
225r,440,248o,0.43
248o,440,225r,0.43
225r,441,249p,0.29
249p,441,225r,0.29
226s,442,249p,0.5
249p,442,226s,0.5
227t,443,228u,0.82
228u,443,227t,0.82
227t,444,229v,0.55
229v,444,227t,0.55
227t,445,251r,0.15
251r,445,227t,0.15
227t,446,252s,0.18
252s,446,227t,0.18
227t,447,253t,0.38
253t,447,227t,0.38
227t,448,261b,0.33
261b,448,227t,0.33
228u,449,229v,0.67
229v,449,228u,0.67
228u,450,252s,0.22
252s,450,228u,0.22
228u,451,253t,0.45
253t,451,228u,0.45
228u,452,261b,0.4
261b,452,228u,0.4
228u,453,288c,0.1
288c,453,228u,0.1
229v,454,253t,0.62
253t,454,229v,0.62
229v,455,261b,0.57
261b,455,229v,0.57
229v,456,288c,0.14
288c,456,229v,0.14
229v,457,289d,0.12
289d,457,229v,0.12
230w,458,256w,0.47
256w,458,230w,0.47
230w,459,263d,0.36
263d,459,230w,0.36
232y,460,266g,0.75
266g,460,232y,0.75
232y,461,318g,0.2
318g,461,232y,0.2
233z,462,259z,0.43
259z,462,233z,0.43
233z,463,267h,0.43
267h,463,233z,0.43
233z,464,276q,0.38
276q,464,233z,0.38
233z,465,277r,0.29
277r,465,233z,0.29
233z,466,298m,0.25
298m,466,233z,0.25
233z,467,319h,0.12
319h,467,233z,0.12
234a,468,278s,0.67
278s,468,234a,0.67
235b,469,268i,0.83
268i,469,235b,0.83
238e,470,269j,0.6
269j,470,238e,0.6
238e,471,279t,0.67
279t,471,238e,0.67
238e,472,295j,0.5
295j,472,238e,0.5
238e,473,299n,0.33
299n,473,238e,0.33
238e,474,320i,0.17
320i,474,238e,0.17
239f,475,270k,0.8
270k,475,239f,0.8
239f,476,280u,0.67
280u,476,239f,0.67
239f,477,300o,0.33
300o,477,239f,0.33
239f,478,321j,0.17
321j,478,239f,0.17
241h,479,281v,0.67
281v,479,241h,0.67
242i,480,271l,0.8
271l,480,242i,0.8
242i,481,282w,0.67
282w,481,242i,0.67
242i,482,301p,0.33
301p,482,242i,0.33
242i,483,322k,0.17
322k,483,242i,0.17
243j,484,260a,0.42
260a,484,243j,0.42
243j,485,272m,0.25
272m,485,243j,0.25
243j,486,273n,0.25
273n,486,243j,0.25
243j,487,283x,0.23
283x,487,243j,0.23
243j,488,302q,0.15
302q,488,243j,0.15
244k,489,274o,0.6
274o,489,244k,0.6
244k,490,284y,0.5
284y,490,244k,0.5
244k,491,310y,0.17
310y,491,244k,0.17
245l,492,285z,0.67
285z,492,245l,0.67
246m,493,286a,0.67
286a,493,246m,0.67
251r,494,287b,0.75
287b,494,251r,0.75
253t,495,261b,0.71
261b,495,253t,0.71
253t,496,288c,0.29
288c,496,253t,0.29
253t,497,289d,0.25
289d,497,253t,0.25
253t,498,311z,0.12
311z,498,253t,0.12
255v,499,262c,0.8
262c,499,255v,0.8
255v,500,290e,0.1
290e,500,255v,0.1
255v,501,291f,0.22
291f,501,255v,0.22
255v,502,296k,0.25
296k,502,255v,0.25
255v,503,304s,0.12
304s,503,255v,0.12
255v,504,343f,0.17
343f,504,255v,0.17
256w,505,263d,0.67
263d,505,256w,0.67
256w,506,293h,0.22
293h,506,256w,0.22
256w,507,315d,0.1
315d,507,256w,0.1
257x,508,317f,0.2
317f,508,257x,0.2
259z,509,277r,0.67
277r,509,259z,0.67
260a,510,273n,0.6
273n,510,260a,0.6
260a,511,283x,0.5
283x,511,260a,0.5
260a,512,302q,0.33
302q,512,260a,0.33
260a,513,324m,0.17
324m,513,260a,0.17
261b,514,289d,0.33
289d,514,261b,0.33
261b,515,311z,0.17
311z,515,261b,0.17
262c,516,291f,0.25
291f,516,262c,0.25
262c,517,296k,0.29
296k,517,262c,0.29
262c,518,304s,0.14
304s,518,262c,0.14
262c,519,343f,0.2
343f,519,262c,0.2
263d,520,293h,0.33
293h,520,263d,0.33
263d,521,315d,0.14
315d,521,263d,0.14
264e,522,275p,0.2
275p,522,264e,0.2
265f,523,275p,0.2
275p,523,265f,0.2
265f,524,294i,0.25
294i,524,265f,0.25
265f,525,297l,0.5
297l,525,265f,0.5
265f,526,316e,0.25
316e,526,265f,0.25
266g,527,318g,0.25
318g,527,266g,0.25
267h,528,276q,0.75
276q,528,267h,0.75
267h,529,298m,0.5
298m,529,267h,0.5
267h,530,319h,0.25
319h,530,267h,0.25
269j,531,279t,0.6
279t,531,269j,0.6
269j,532,295j,0.75
295j,532,269j,0.75
269j,533,299n,0.5
299n,533,269j,0.5
269j,534,320i,0.25
320i,534,269j,0.25
270k,535,280u,0.8
280u,535,270k,0.8
270k,536,300o,0.4
300o,536,270k,0.4
270k,537,321j,0.2
321j,537,270k,0.2
271l,538,282w,0.8
282w,538,271l,0.8
271l,539,301p,0.4
301p,539,271l,0.4
271l,540,322k,0.2
322k,540,271l,0.2
272m,541,323l,0.2
323l,541,272m,0.2
273n,542,283x,0.75
283x,542,273n,0.75
273n,543,302q,0.5
302q,543,273n,0.5
273n,544,324m,0.25
324m,544,273n,0.25
274o,545,284y,0.75
284y,545,274o,0.75
274o,546,310y,0.25
310y,546,274o,0.25
275p,547,294i,0.8
294i,547,275p,0.8
275p,548,297l,0.4
297l,548,275p,0.4
275p,549,316e,0.3
316e,549,275p,0.3
276q,550,298m,0.75
298m,550,276q,0.75
276q,551,319h,0.5
319h,551,276q,0.5
279t,552,295j,0.8
295j,552,279t,0.8
279t,553,299n,0.6
299n,553,279t,0.6
279t,554,320i,0.4
320i,554,279t,0.4
280u,555,300o,0.6
300o,555,280u,0.6
280u,556,321j,0.4
321j,556,280u,0.4
282w,557,301p,0.6
301p,557,282w,0.6
282w,558,322k,0.4
322k,558,282w,0.4
283x,559,302q,0.75
302q,559,283x,0.75
283x,560,324m,0.5
324m,560,283x,0.5
284y,561,310y,0.5
310y,561,284y,0.5
289d,562,311z,0.67
311z,562,289d,0.67
290e,563,303r,0.83
303r,563,290e,0.83
290e,564,305t,0.67
305t,564,290e,0.67
290e,565,307v,0.5
307v,565,290e,0.5
291f,566,296k,0.83
296k,566,291f,0.83
291f,567,304s,0.67
304s,567,291f,0.67
291f,568,306u,0.5
306u,568,291f,0.5
291f,569,343f,0.33
343f,569,291f,0.33
292g,570,314c,0.17
314c,570,292g,0.17
293h,571,315d,0.33
315d,571,293h,0.33
294i,572,297l,0.5
297l,572,294i,0.5
294i,573,316e,0.38
316e,573,294i,0.38
295j,574,299n,0.75
299n,574,295j,0.75
295j,575,320i,0.5
320i,575,295j,0.5
296k,576,304s,0.8
304s,576,296k,0.8
296k,577,306u,0.6
306u,577,296k,0.6
296k,578,343f,0.4
343f,578,296k,0.4
297l,579,316e,0.75
316e,579,297l,0.75
298m,580,319h,0.67
